source_league_id,dest_league_id,source_league,dest_league,source_country_id,dest_country_id,source_tier,dest_tier,n_transfers,n_loans,fee_sum,fee_median,domestic_share
19D7,L2,U19 DFB-Nachwuchsliga - Vorrunde Gruppe G,2. Bundesliga,40.0,40.0,Youth,2,1,0,80000.0,80000.0,1.0
19D7,OLRP,U19 DFB-Nachwuchsliga - Vorrunde Gruppe G,Oberliga Rheinland-Pfalz/Saar,40.0,40.0,Youth,5,1,0,0.0,,1.0
19D8,A1,U19 DFB-Nachwuchsliga - Vorrunde Gruppe H,Bundesliga,40.0,127.0,Youth,1,1,0,2000000.0,2000000.0,0.0
19D8,L2,U19 DFB-Nachwuchsliga - Vorrunde Gruppe H,2. Bundesliga,40.0,40.0,Youth,2,1,0,0.0,,1.0
19D9,OLW3,U19 DFB-Nachwuchsliga - Vorrunde Gruppe I,Oberliga Westfalen,40.0,40.0,Youth,5,1,0,0.0,,1.0
19LA,19LA,U19 DFB-Nachwuchsliga - Hauptrunde Liga A,U19 DFB-Nachwuchsliga - Hauptrunde Liga A,40.0,40.0,Youth,Youth,2,0,0.0,,1.0
19LA,211F,U19 DFB-Nachwuchsliga - Hauptrunde Liga A,U21 Divisie 1 Herbst,40.0,122.0,Youth,Youth,1,1,0.0,,0.0
19LA,A1,U19 DFB-Nachwuchsliga - Hauptrunde Liga A,Bundesliga,40.0,127.0,Youth,1,1,0,0.0,,0.0
19LA,BE2,U19 DFB-Nachwuchsliga - Hauptrunde Liga A,Challenger Pro League,40.0,19.0,Youth,2,2,1,0.0,,0.0
19LA,DK1,U19 DFB-Nachwuchsliga - Hauptrunde Liga A,Superliga,40.0,39.0,Youth,1,1,0,0.0,,0.0
19LA,FR1,U19 DFB-Nachwuchsliga - Hauptrunde Liga A,Ligue 1,40.0,50.0,Youth,1,1,0,4000000.0,4000000.0,0.0
19LA,IJ1,U19 DFB-Nachwuchsliga - Hauptrunde Liga A,Primavera 1,40.0,75.0,Youth,Youth,4,1,800000.0,800000.0,0.0
19LA,L1,U19 DFB-Nachwuchsliga - Hauptrunde Liga A,Bundesliga,40.0,40.0,Youth,1,1,0,0.0,,1.0
19LA,L2,U19 DFB-Nachwuchsliga - Hauptrunde Liga A,2. Bundesliga,40.0,40.0,Youth,2,4,0,580000.0,140000.0,1.0
19LA,NL2,U19 DFB-Nachwuchsliga - Hauptrunde Liga A,Keuken Kampioen Divisie,40.0,122.0,Youth,2,1,0,0.0,,0.0
19LA,OLW3,U19 DFB-Nachwuchsliga - Hauptrunde Liga A,Oberliga Westfalen,40.0,40.0,Youth,5,1,0,0.0,,1.0
19LA,RLB3,U19 DFB-Nachwuchsliga - Hauptrunde Liga A,Regionalliga Bayern,40.0,40.0,Youth,4,2,0,0.0,,1.0
19LA,RLN4,U19 DFB-Nachwuchsliga - Hauptrunde Liga A,Regionalliga Nordost,40.0,40.0,Youth,4,1,0,0.0,,1.0
19LA,RLSW,U19 DFB-Nachwuchsliga - Hauptrunde Liga A,Regionalliga Südwest,40.0,40.0,Youth,4,1,0,0.0,,1.0
19LA,RLW3,U19 DFB-Nachwuchsliga - Hauptrunde Liga A,Regionalliga West,40.0,40.0,Youth,4,1,0,0.0,,1.0
19LA,SE1,U19 DFB-Nachwuchsliga - Hauptrunde Liga A,Allsvenskan,40.0,147.0,Youth,1,1,0,0.0,,0.0
19LA,SER1,U19 DFB-Nachwuchsliga - Hauptrunde Liga A,Super Liga Srbije,40.0,215.0,Youth,1,1,0,0.0,,0.0
19LA,TR2,U19 DFB-Nachwuchsliga - Hauptrunde Liga A,1.Lig,40.0,174.0,Youth,2,1,0,0.0,,0.0
19LA,WITHOUT_CLUB,U19 DFB-Nachwuchsliga - Hauptrunde Liga A,WITHOUT_CLUB,40.0,,Youth,,1,0,0.0,,0.0
19LB,19LA,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,U19 DFB-Nachwuchsliga - Hauptrunde Liga A,40.0,40.0,Youth,Youth,1,0,0.0,,1.0
19LB,19LB,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,40.0,40.0,Youth,Youth,1,0,0.0,,1.0
19LB,212F,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,U21 Divisie 2 Herbst,40.0,122.0,Youth,Youth,1,0,0.0,,0.0
19LB,CHC3,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,1. Liga Classic Gruppe 3,40.0,148.0,Youth,4,1,0,0.0,,0.0
19LB,LBSW,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,Landesliga Bayern Südwest,40.0,40.0,Youth,6,1,0,0.0,,1.0
19LB,NL1,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,Eredivisie,40.0,122.0,Youth,1,1,0,0.0,,0.0
19LB,OBLB,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,Oberliga Baden-Württemberg,40.0,40.0,Youth,5,2,0,0.0,,1.0
19LB,OBLC,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,Hessenliga,40.0,40.0,Youth,5,1,0,0.0,,1.0
19LB,OBLG,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,NOFV-Oberliga Süd,40.0,40.0,Youth,5,2,0,0.0,,1.0
19LB,OBLJ,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,Oberliga Hamburg,40.0,40.0,Youth,5,1,0,0.0,,1.0
