"group_key";"competition_id";"league_name";"league_name_norm";"historical_flag";"country_id";"tier";"source_url"; "canonical_competition_id"
"122.0|Reserve";"NLBE";"Beloften Eredivisie";"beloften eredivisie";"False";"122";"Reserve";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/NLBE"
"122.0|Reserve";"NLBV";"Beloften Vorrunde";"beloften vorrunde";"False";"122";"Reserve";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/NLBV"

"122.0|Youth";"NLBJ";"U17 Divisie 1 Frühling";"u17 divisie 1 fr hling";"False";"122";"Youth";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/NLBJ"
"122.0|Youth";"NLVB";"U17 Divisie 1 Herbst";"u17 divisie 1 herbst";"False";"122";"Youth";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/NLVB"
"122.0|Youth";"181S";"U18 Divisie 1 Frühling";"u18 divisie 1 fr hling";"False";"122";"Youth";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/181S"
"122.0|Youth";"181F";"U18 Divisie 1 Herbst";"u18 divisie 1 herbst";"False";"122";"Youth";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/181F"
"122.0|Youth";"182S";"U18 Divisie 2 Frühling";"u18 divisie 2 fr hling";"False";"122";"Youth";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/182S"
"122.0|Youth";"182F";"U18 Divisie 2 Herbst";"u18 divisie 2 herbst";"False";"122";"Youth";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/182F"
"122.0|Youth";"NLAJ";"U19 Divisie 1 Frühling";"u19 divisie 1 fr hling";"False";"122";"Youth";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/NLAJ"
"122.0|Youth";"NLAE";"U19 Divisie 2 Frühling";"u19 divisie 2 fr hling";"False";"122";"Youth";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/NLAE"
"122.0|Youth";"NLJV";"U19 Division 1 Herbst";"u19 division 1 herbst";"False";"122";"Youth";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/NLJV"
"122.0|Youth";"NLEV";"U19 Division 2 Fall";"u19 division 2 fall";"False";"122";"Youth";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/NLEV"
"122.0|Youth";"211F";"U21 Divisie 1 Herbst";"u21 divisie 1 herbst";"False";"122";"Youth";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/211F"
"122.0|Youth";"212S";"U21 Divisie 2 Frühling";"u21 divisie 2 fr hling";"False";"122";"Youth";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/212S"
"122.0|Youth";"212F";"U21 Divisie 2 Herbst";"u21 divisie 2 herbst";"False";"122";"Youth";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/212F"

"125.0|3";"NO31";"PostNord-ligaen Avd. 1";"postnord ligaen avd 1";"False";"125";"3";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/NO31"
"125.0|3";"NO32";"PostNord-ligaen Avd. 2";"postnord ligaen avd 2";"False";"125";"3";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/NO32"

"125.0|4";"NO41";"Norsk Tipping-Ligaen avdeling 1";"norsk tipping ligaen avdeling 1";"False";"125";"4";"https://www.transfermarkt.de/jumplist/startseite/wettbewerb/NO41"
