league_id,league_name,country_id,tier,prior_league_names
BE5A,3de Nationale VV A,19,5,
BE5B,3de Nationale VV B,19,5,
BRCM,Campeonato Mineiro,26,StateChampionship,
CLPF,Copa LPF Proyección Clausura,9,Youth,
ITJ9,Campionato nazionale Under 18 - B,75,Youth,
NC1C,Liga Primera de Nicaragua Clausura,121,1,
NSL1,National League - South,120,1,
OM1L,Oman Jindal League,126,1,
SK19,I. Liga starsieho dorastu,154,Youth,
TOSL,Tokai Soccer League (Div.1),77,5,
VN2C,Liga FUTVE 2. Segunda Fase,182,2,
2DVB,2. Division B,141,4,
AR3F,Federal A - Fase Campeonato,9,3,
AR3R,Federal A - Fase Reválida,9,3,
BO1C,División Profesional Clausura,23,1,
BRRN,Campeonato Potiguar,26,StateChampionship,
C191,Swiss U19 Elite League,148,Youth,
CN44,Chinese U21 League (Final Stage),34,4,
F4LA,Kolmonen Läntinen,49,5,
FIYK,Ykkönen,49,3,
IRN3,League 2,71,3,
KOG2,Kolmonen Etelä Gruppe B,49,5,
M23C,Liga MX U23 Clausura (23/24 - 24/25),110,Youth,
MAL3,National Amateur League I,106,3,
ML1P,Liga 1 (Aufstieg),112,2,
MOP2,Super Liga (Phase 2),112,1,
NLBJ,U17 Divisie 1 Frühling,122,Youth,
R3D1,2. Division A (Phase 1),141,3,
R3D2,2. Division A (Phase 2),141,3,
RJL2,U19 M-Liga (seit 2024),141,Youth,
SL19,NextGen Liga,155,Youth,
UA19,U19 Premier Liga,177,Youth,
VN2A,Liga FUTVE 2,182,2,
17LA,U17 DFB-Nachwuchsliga - Hauptrunde Liga A,40,Youth,
17LB,U17 DFB-Nachwuchsliga - Hauptrunde Liga B,40,Youth,
19LA,U19 DFB-Nachwuchsliga - Hauptrunde Liga A,40,Youth,
19LB,U19 DFB-Nachwuchsliga - Hauptrunde Liga B,40,Youth,
AR3D,Primera División B Clausura,9,3,
BE21,U21 Pro League,19,Youth,
BE3A,1ste Nationale ACFF,19,3,
BE3V,1ste Nationale VV,19,3,
BEY1,U18 Elite 1 - Belgien,19,Youth,
BRQR,Campeonato Gaúcho - Abstiegsrunde,26,StateChampionship,
CHI3,Segunda División Profesional,33,3,
CPSA,Campeonato de Portugal - Série A,136,4,
CPSB,Campeonato de Portugal - Série B,136,4,
CPSD,Campeonato de Portugal - Série D,136,4,
CVF,Primera División Clausura Finale,36,1,
ETP1,Äthiopische Premier League,11,1,
HK3L,Hong Kong Second Division,218,3,
INR1,Super League Kerala,67,StateChampionship,
IRQ1,Iraq Stars League,70,1,
JO1L,Jordanian Pro League,78,1,
LPL,Libyan Premier League,96,1,
M192,Liga MX U19 Clausura,110,Youth,
MT1P,Premier League Closing Round,106,1,
PAR2,División Intermedia,132,2,
PLI3,Liga 3,133,3,
RJP1,U19 M-Liga Play-off,141,PlayoffRelegation,
Y047,YFL U17 (2024),141,Youth,
19D2,U19 DFB-Nachwuchsliga - Vorrunde Gruppe B,40,Youth,
19D3,U19 DFB-Nachwuchsliga - Vorrunde Gruppe C,40,Youth,
19D4,U19 DFB-Nachwuchsliga - Vorrunde Gruppe D,40,Youth,
19D5,U19 DFB-Nachwuchsliga - Vorrunde Gruppe E,40,Youth,
19D6,U19 DFB-Nachwuchsliga - Vorrunde Gruppe F,40,Youth,
19D7,U19 DFB-Nachwuchsliga - Vorrunde Gruppe G,40,Youth,
19D8,U19 DFB-Nachwuchsliga - Vorrunde Gruppe H,40,Youth,
19D9,U19 DFB-Nachwuchsliga - Vorrunde Gruppe I,40,Youth,
GU1C,Liga Nacional Clausura,58,1,
IN3L,Liga Nusantara,68,3,
M191,Liga MX U19 Apertura,110,Youth,
M21A,Liga MX U21 Apertura,110,Youth,
MT1N,Premier League Opening Round,106,1,
NLJV,U19 Division 1 Herbst,122,Youth,
SEN1,Ligue 1,149,1,
SU2L,Pervaya Liga (-1991),221,2,
MEX1,Liga MX Clausura,110,1,
J6TN,Tohoku Soccer League (Div.2 Nord),77,6,
BBPO,Landespokal Brandenburg,40,Cup,
JPKS,Kyushu Soccer League,77,5,
J6T2,Tokai Soccer League (Div.2),77,6,
182S,U18 Divisie 2 Frühling,122,Youth,
KOG3,Kolmonen Etelä Gruppe C,49,5,
TFL2,Taiwan Football League Div.2,164,2,
BH1L,Bhutan Premier League,22,1,
