Hypothesis,Key Metric,Robustness,Verdict,Notes
H1 – Concentration,Top-5: 12.4% | Top-10: 21.2% | HHI: 0.0096  (cross-league only),"Perm-only top-10: 14.5% | HHI: 0.0069 | MK(HHI): trend=decreasing, τ=-0.9323, p=0.0000",Moderate; HHI well below 0.25 → unequal but not monopolistic,
H2 – Bridge Leagues,"Inverted-U of bridge score vs. global standing: quadratic coef -0.53 (peak at 52%), permutation p = 0.004; tercile means Low/Mid/High = 0.20/0.25/0.17","Universe: 51 first-division leagues, throughput >= 1000; standing = median incoming market value; tier-2–4 betweenness lift = 0.89x (hub artefact, see 03b)",Supported (qualified) — mid-standing leagues bridge disproportionately,"Betweenness ranks hubs, not bridges; the bridge role is captured via upward, cross-community pass-through on a market-value standing axis. Effect is modest and the coarse mid-vs-edge tercile contrast is not significant on its own."
H3 – Community Structure,Observed Q: 0.2768 | Null mean Q: 0.0692 | z = 152.66 | p = < 0.001,1000 null graphs; 26/26 seasons above null mean,Supported (p < 0.05),
H4 – Lower-League Pathways,"Domestic — Top: 56.3%, Lower 5+: 91.9% | Upward — Lower 5+: 56.5% vs Top: 0.0%",Tier-flow matrix + directional analysis (aggregated),Supported,
